,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2020-10-19,286.64,287.06,281.28,282.03,278.38590553,2837641,0.0,1.0
2020-10-20,283.16,285.66,282.25,282.95,279.294018259,3338994,0.0,1.0
2020-10-21,282.54,284.47,281.83,281.97,278.326680787,2907083,0.0,1.0
2020-10-22,282.1,284.16,280.3001,283.65,279.984973597,2324172,0.0,1.0
2020-10-23,284.45,284.54,281.51,283.34,279.67897909,2161005,0.0,1.0
2020-10-26,280.14,280.39,273.7,277.0,273.420897889,5140625,0.0,1.0
2020-10-27,276.95,277.07,274.6,274.66,271.111132904,3029773,0.0,1.0
2020-10-28,269.0,270.75,265.02,265.48,262.04974719,5815157,0.0,1.0
2020-10-29,265.13,268.94,262.81,266.59,263.14540494,5479384,0.0,1.0
2020-10-30,265.03,266.32,261.41,265.06,261.635173988,5278983,0.0,1.0
2020-11-02,268.9,270.5,266.93,269.2,265.72168127,5062870,0.0,1.0
2020-11-03,272.66,276.43,272.2,274.65,271.101262113,4343013,0.0,1.0
2020-11-04,275.9,283.06,275.5601,278.51,274.911387261,6766381,0.0,1.0
2020-11-05,282.29,284.9599,282.07,283.91,280.241614151,4316166,0.0,1.0
2020-11-06,283.95,284.38,281.89,283.22,279.560529604,3078245,0.0,1.0
2020-11-09,298.61,299.49,291.39,291.72,287.950701561,10839326,0.0,1.0
2020-11-10,293.3,294.96,291.4,294.51,290.704652121,4354521,0.0,1.0
2020-11-11,296.07,296.14,292.93,294.11,290.309820499,2910419,0.0,1.0
2020-11-12,292.22,293.32,289.19,291.05,287.289358595,4401456,0.0,1.0
2020-11-13,292.97,295.9235,292.42,295.15,291.336382715,3102834,0.0,1.0
2020-11-16,299.28,300.08,297.568,299.98,296.103974545,4615039,0.0,1.0
2020-11-17,297.31,299.15,295.6,298.31,294.455552525,4049164,0.0,1.0
2020-11-18,299.2,299.75,294.76,294.76,290.951421884,3566443,0.0,1.0
2020-11-19,294.06,295.81,292.9,295.33,291.514056945,3266622,0.0,1.0
2020-11-20,294.22,294.5895,292.2,292.53,289.394057907,3092546,0.6522,1.0
2020-11-23,294.26,296.65,293.48,295.89,292.718038472,2855621,0.0,1.0
2020-11-24,298.94,301.11,298.3,300.43,297.209369354,3946269,0.0,1.0
2020-11-25,299.95,300.04,298.05,298.74,295.537486272,2629180,0.0,1.0
2020-11-27,299.44,300.2,298.1701,299.24,296.032126237,1518004,0.0,1.0
2020-11-30,297.52,297.8,294.75,296.62,293.440212821,4159303,0.0,1.0
2020-12-01,299.73,301.0099,298.18,298.44,295.240702293,2804548,0.0,1.0
2020-12-02,297.1,299.34,296.35,299.18,295.972769441,2481696,0.0,1.0
2020-12-03,299.38,301.4,299.0531,300.06,296.84333578,3140866,0.0,1.0
2020-12-04,300.74,302.59,300.6,302.59,299.346214002,2747275,0.0,1.0
2020-12-07,301.77,302.16,300.0,301.1,297.872186907,2589937,0.0,1.0
2020-12-08,300.01,302.87,299.98,302.2,298.96039483,2205376,0.0,1.0
2020-12-09,303.22,303.6,299.97,300.88,297.654545322,3074513,0.0,1.0
2020-12-10,299.99,301.15,299.2,300.54,297.318190146,2413039,0.0,1.0
2020-12-11,299.43,301.18,298.68,300.93,297.704009319,2454313,0.0,1.0
2020-12-14,303.02,303.799,299.0,299.1,295.893627047,3646063,0.0,1.0
2020-12-15,300.95,302.94,299.48,302.62,299.3758924,4228573,0.0,1.0
2020-12-16,302.54,302.8721,301.32,302.15,298.910930833,1977342,0.0,1.0
2020-12-17,303.2165,303.71,302.85,303.49,300.236565939,3002872,0.0,1.0
2020-12-18,303.07,303.14,300.23,301.9,299.244773238,4442136,0.5875,1.0
2020-12-21,298.79,302.97,297.42,302.14,299.482662425,6340751,0.0,1.0
2020-12-22,301.84,301.88,299.8597,300.07,297.430868187,2723542,0.0,1.0
2020-12-23,301.2,302.7899,301.14,301.28,298.630226172,2714356,0.0,1.0
2020-12-24,301.66,302.1,300.93,302.02,299.363717832,1955723,0.0,1.0
2020-12-28,303.69,305.15,303.3517,304.0,301.326303625,2353830,0.0,1.0
2020-12-29,305.43,305.7,302.64,303.46,300.791052954,2319636,0.0,1.0
2020-12-30,304.11,305.13,303.86,304.13,301.455160268,2081348,0.0,1.0
2020-12-31,304.0,306.29,303.35,305.79,303.100560479,2796979,0.0,1.0
2021-01-04,306.59,306.66,298.74,302.32,299.661079316,5106635,0.0,1.0
2021-01-05,301.93,305.05,301.38,303.84,301.167710834,3355243,0.0,1.0
2021-01-06,303.75,310.24,303.06,308.21,305.499276448,7290298,0.0,1.0
2021-01-07,309.72,311.98,309.059,310.5,307.769135775,4107942,0.0,1.0
2021-01-08,311.25,311.43,307.99,311.04,308.304386446,3234948,0.0,1.0
2021-01-11,308.49,311.0,308.42,310.17,307.442038143,2822095,0.0,1.0
2021-01-12,310.18,311.25,308.91,310.74,308.007024962,2269719,0.0,1.0
2021-01-13,310.63,311.6,309.92,310.63,307.897992418,1854424,0.0,1.0
2021-01-14,311.59,312.2683,309.89,310.05,307.323093549,3232381,0.0,1.0
2021-01-15,308.01,309.32,306.03,308.12,305.536446634,4009106,0.1275,1.0
2021-01-19,310.36,310.74,308.6,309.32,306.726384762,2781746,0.0,1.0
2021-01-20,310.43,312.3385,309.94,311.77,309.155841773,2398402,0.0,1.0
2021-01-21,312.01,312.7098,311.2,311.87,309.255003283,1938431,0.0,1.0
2021-01-22,309.86,311.02,309.09,309.97,307.370934581,2049721,0.0,1.0
2021-01-25,308.99,309.78,305.62,309.65,307.053617747,4546419,0.0,1.0
2021-01-26,310.54,311.19,309.21,309.39,306.795797819,2256091,0.0,1.0
2021-01-27,306.54,306.7199,302.0971,303.26,300.717197216,5743141,0.0,1.0
2021-01-28,304.98,309.42,304.83,306.07,303.503635665,6392069,0.0,1.0
2021-01-29,303.92,304.78,298.59,299.81,297.296125098,5929934,0.0,1.0
2021-02-01,302.28,303.35,300.14,302.02,299.487594484,3138644,0.0,1.0
2021-02-02,304.5399,308.43,304.52,306.82,304.247346995,2970191,0.0,1.0
2021-02-03,306.1,307.9353,305.18,307.26,304.683657642,2087820,0.0,1.0
2021-02-04,307.85,310.67,307.77,310.67,308.065065156,2638783,0.0,1.0
2021-02-05,312.36,312.55,310.87,311.54,308.927770298,1955606,0.0,1.0
2021-02-08,312.6953,313.89,312.41,313.89,311.258065799,1690007,0.0,1.0
2021-02-09,313.26,314.5,312.57,313.92,311.287814252,1782873,0.0,1.0
2021-02-10,315.17,315.24,312.3,314.5,311.862951014,2703134,0.0,1.0
2021-02-11,315.09,315.76,312.8,314.68,312.041441733,1937081,0.0,1.0
2021-02-12,314.28,315.14,313.83,315.04,312.398423171,2479493,0.0,1.0
2021-02-16,316.33,316.54,314.8701,315.58,312.933895329,1836346,0.0,1.0
2021-02-17,314.69,316.91,313.87,316.6,313.945342738,1980223,0.0,1.0
2021-02-18,314.75,316.0,313.38,315.56,312.914063027,2618615,0.0,1.0
2021-02-19,315.61,316.34,314.58,314.92,312.875717271,2314939,0.6013,1.0
2021-02-22,312.9,316.49,312.77,315.21,313.163834754,2708180,0.0,1.0
2021-02-23,314.77,316.49,311.6,315.39,313.342666296,5723426,0.0,1.0
2021-02-24,314.68,320.043,314.18,319.53,317.455791755,4290289,0.0,1.0
