,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2020-12-22,309.85,310.7105,306.845,309.76,308.671324308,26378343,0.0,1.0
2020-12-23,309.81,310.18,308.035,308.2,307.116807049,21201280,0.0,1.0
2020-12-24,308.47,310.02,308.39,309.56,308.472027223,16784997,0.0,1.0
2020-12-28,312.25,313.17,310.36,312.68,311.58106174,22090365,0.0,1.0
2020-12-29,314.05,314.685,312.03,312.96,311.860077658,25871925,0.0,1.0
2020-12-30,314.16,314.49,312.33,312.97,311.870042512,18138071,0.0,1.0
2020-12-31,312.87,314.24,311.76,313.74,312.637336287,21611412,0.0,1.0
2021-01-04,315.11,315.29,305.18,309.31,308.222905868,45305898,0.0,1.0
2021-01-05,308.29,312.14,308.29,311.86,310.763943694,29323409,0.0,1.0
2021-01-06,307.0,311.88,305.98,307.54,306.459126671,52809622,0.0,1.0
2021-01-07,310.28,315.84,310.25,314.98,313.87297821,30394826,0.0,1.0
2021-01-08,317.34,319.39,315.0814,319.03,317.908744169,33955847,0.0,1.0
2021-01-11,315.98,317.19,313.75,314.42,313.314946374,32869095,0.0,1.0
2021-01-12,314.46,315.58,311.2,313.92,312.816703663,28652545,0.0,1.0
2021-01-13,314.19,316.86,313.57,316.04,314.929252758,22898417,0.0,1.0
2021-01-14,316.5,317.53,313.8616,314.35,313.245192394,23500129,0.0,1.0
2021-01-15,314.13,315.12,310.58,311.86,310.763943694,35118718,0.0,1.0
2021-01-19,314.25,316.93,313.12,316.41,315.297952364,24537049,0.0,1.0
2021-01-20,320.14,324.74,316.509,323.77,322.632085069,30728096,0.0,1.0
2021-01-21,325.15,327.13,323.73,326.36,325.212982312,25316935,0.0,1.0
2021-01-22,325.29,326.46,324.71,325.42,324.276286016,21609444,0.0,1.0
2021-01-25,328.91,330.32,321.41,328.11,326.956831801,39080644,0.0,1.0
2021-01-26,328.85,329.76,327.22,328.59,327.435144803,25498112,0.0,1.0
2021-01-27,326.26,326.27,317.36,319.43,318.307338338,55263985,0.0,1.0
2021-01-28,320.67,326.42,320.03,321.32,320.190695786,42836324,0.0,1.0
2021-01-29,319.58,320.7193,312.76,314.56,313.454454333,55259018,0.0,1.0
2021-02-01,318.11,323.54,316.02,322.42,321.28682975,35646008,0.0,1.0
2021-02-02,325.48,328.87,325.31,327.68,326.528343069,33119867,0.0,1.0
2021-02-03,329.82,330.195,326.32,326.38,325.232912021,24824518,0.0,1.0
2021-02-04,327.82,330.33,326.46,330.24,329.07934575,22350947,0.0,1.0
2021-02-05,331.22,332.4025,329.53,331.36,330.195409422,22731960,0.0,1.0
2021-02-08,333.1,333.74,331.41,333.58,332.407607059,20462812,0.0,1.0
2021-02-09,332.62,334.81,332.61,333.51,332.337853079,17352727,0.0,1.0
2021-02-10,334.99,335.46,329.5,332.75,331.580524159,27705242,0.0,1.0
2021-02-11,334.33,335.0,332.12,334.58,333.404092481,22046071,0.0,1.0
2021-02-12,333.71,336.62,332.63,336.45,335.26752022,20346819,0.0,1.0
2021-02-16,337.27,338.19,334.34,335.54,334.360718486,27080777,0.0,1.0
2021-02-17,332.47,335.657,330.17,333.93,332.756376957,31000553,0.0,1.0
2021-02-18,330.23,333.8661,328.36,332.47,331.30150824,32236240,0.0,1.0
2021-02-19,333.86,333.99,329.97,331.02,329.856604379,39157677,0.0,1.0
2021-02-22,326.5,327.8,322.23,322.44,321.306759458,45835313,0.0,1.0
2021-02-23,317.0,323.2,311.0,321.48,320.350133453,97241936,0.0,1.0
2021-02-24,318.74,324.45,315.96,324.13,322.990819821,58206272,0.0,1.0
2021-02-25,321.39,324.03,311.24,312.83,311.730534553,107375054,0.0,1.0
2021-02-26,315.85,319.11,310.88,314.14,313.035930456,103125301,0.0,1.0
2021-03-01,319.27,323.94,317.935,323.59,322.452717693,49164518,0.0,1.0
2021-03-02,324.25,324.33,318.14,318.4,317.280958353,48370034,0.0,1.0
2021-03-03,317.27,318.24,309.1,309.16,308.073433055,86301073,0.0,1.0
2021-03-04,308.78,312.04,300.11,304.1,303.031216819,139131582,0.0,1.0
2021-03-05,306.795,309.609,297.45,308.68,307.595120052,121523726,0.0,1.0
2021-03-08,308.12,310.06,299.51,299.94,298.885837464,88409781,0.0,1.0
2021-03-09,307.47,313.73,306.92,311.77,310.674260006,80391114,0.0,1.0
2021-03-10,316.16,316.47,310.17,310.88,309.78738798,76798065,0.0,1.0
2021-03-11,315.77,319.86,314.85,318.04,316.922223602,53484804,0.0,1.0
2021-03-12,313.86,318.2302,311.391,315.46,314.351291213,69315601,0.0,1.0
2021-03-15,315.79,319.0,314.095,318.83,317.709447085,43123176,0.0,1.0
2021-03-16,321.09,324.2,319.1,320.58,319.453296573,54925896,0.0,1.0
2021-03-17,317.45,323.85,315.68,321.9,320.76865733,78258729,0.0,1.0
2021-03-18,316.87,317.8801,311.57,312.04,310.94331107,82942269,0.0,1.0
2021-03-19,311.87,314.73,309.6601,313.14,312.039445034,78446204,0.0,1.0
2021-03-22,315.21,320.74,315.21,318.61,317.883513158,56194755,0.3947,1.0
2021-03-23,319.73,321.09,316.375,317.22,316.496682603,53455411,0.0,1.0
2021-03-24,318.63,318.67,311.72,311.87,311.158881544,64803729,0.0,1.0
2021-03-25,309.968,312.885,307.3899,311.33,310.620112839,78729008,0.0,1.0
2021-03-26,311.11,316.33,309.67,316.0,315.279464417,63519634,0.0,1.0
2021-03-29,315.45,316.99,312.47,315.91,315.189669633,54607963,0.0,1.0
2021-03-30,313.89,314.91,311.54,314.32,313.603295113,44635676,0.0,1.0
2021-03-31,316.16,320.74,315.81,319.13,318.402327467,55032535,0.0,1.0
2021-04-01,323.07,324.71,322.81,324.57,323.82992331,55685602,0.0,1.0
2021-04-05,327.13,331.84,324.6375,331.05,330.29514777,42172475,0.0,1.0
2021-04-06,330.73,332.83,330.02,330.82,330.065672211,33537210,0.0,1.0
2021-04-07,330.33,332.48,329.37,331.62,330.86384807,32046381,0.0,1.0
2021-04-08,334.56,335.27,333.7399,335.08,334.315958661,29940799,0.0,1.0
2021-04-09,333.68,337.32,332.92,337.11,336.341329904,36664892,0.0,1.0
2021-04-12,336.04,337.1,334.73,336.67,335.902333182,25833013,0.0,1.0
2021-04-13,338.24,341.08,338.02,340.6,339.82337209,30374033,0.0,1.0
2021-04-14,340.85,340.98,335.67,336.51,335.74269801,42564337,0.0,1.0
2021-04-15,339.47,342.01,336.2153,341.61,340.831069113,36342821,0.0,1.0
2021-04-16,342.15,342.23,340.08,342.01,341.230157042,40860099,0.0,1.0
2021-04-19,340.39,341.58,336.9016,338.88,338.107293993,34533129,0.0,1.0
2021-04-20,338.2,339.52,334.3816,336.41,335.642926027,38081818,0.0,1.0
2021-04-21,335.09,339.48,333.97,339.29,338.516359121,36598082,0.0,1.0
2021-04-22,338.89,339.9,334.01,335.2,334.43568504,45936143,0.0,1.0
2021-04-23,335.85,340.767,335.85,339.42,338.646062698,36414916,0.0,1.0
2021-04-26,339.67,341.92,338.9,341.63,340.851023509,30811968,0.0,1.0
2021-04-27,341.93,342.15,339.17,340.15,339.37439817,33187183,0.0,1.0
2021-04-28,339.81,340.85,338.3301,339.0,338.227020372,33615696,0.0,1.0
2021-04-29,342.37,342.8,336.9001,340.22,339.444238557,37708884,0.0,1.0
2021-04-30,337.7,340.26,337.05,337.99,337.21932335,38263421,0.0,1.0
